detectors,family,varsByName,attachedTo,isActive,varsByOnto,name
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]DET009'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]DET009
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1FMD3'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1FMD3
"{'airtemp': {'u': 'C', 'o': 'MET_TEMP', 'nError': -32768.0, 'name': 'airtemp'}, 'relhum': {'u': '%', 'o': 'MET_RH', 'nError': -32768.0, 'name': 'relhum'}, 'atmpress': {'u': 'hPa', 'o': 'MET_AP', 'nError': -32768.0, 'name': 'atmpress'}}",luftdaten,"['airtemp', 'relhum', 'atmpress']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': 'LD0028'}]",True,"['MET_AP', 'MET_RH', 'MET_TEMP']",24154
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1GSD2'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1GSD2
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1KDD1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1KDD1
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1KND4'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1KND4
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]DET003'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]DET003
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1PID4'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1PID4
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1FCS1'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1FCS1
"{'flow': {'u': '1/min', 'o': 'TRAFF_FLOW', 'nError': 1.0, 'name': 'flow'}, 'interval': {'u': 'min', 'o': 'TRAFF_INTERVAL', 'nError': 1.0, 'name': 'interval'}, 'occupancy': {'u': '', 'o': 'TRAFF_COUNTS', 'nError': 1.0, 'name': 'occupancy'}}",SCC_flow,"['interval', 'flow', 'occupancy']","[{'to': '2020-08-20', 'from': '2020-08-20', 'site': '[SCC]1TGD5'}]",True,"['TRAFF_COUNTS', 'TRAFF_FLOW', 'TRAFF_INTERVAL']",[SCC]1TGD5
